atp2017-2019
,winner_age,loser_age,w_1stWon,l_1stWon,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,29.004791238900000,22.8856947296,31.0,34.0,9.0,3590.0,16.0,1977.0
1,22.8856947296,33.7056810404,28.0,36.0,16.0,1977.0,239.0,200.0
2,29.004791238900000,31.8822724162,26.0,15.0,9.0,3590.0,40.0,1050.0
3,33.7056810404,19.8685831622,34.0,38.0,239.0,200.0,31.0,1298.0
4,22.8856947296,28.010951403100000,48.0,46.0,16.0,1977.0,18.0,1855.0
5,31.8822724162,26.4038329911,44.0,40.0,40.0,1050.0,185.0,275.0
6,29.004791238900000,27.627652293,37.0,37.0,9.0,3590.0,19.0,1835.0
7,33.7056810404,25.9247091034,30.0,34.0,239.0,200.0,77.0,691.0
8,19.8685831622,24.6981519507,29.0,30.0,31.0,1298.0,72.0,715.0
9,22.8856947296,31.630390143700000,27.0,27.0,16.0,1977.0,240.0,200.0
10,28.010951403100000,19.3347022587,40.0,28.0,18.0,1855.0,131.0,433.0
11,31.8822724162,23.6796714579,50.0,48.0,40.0,1050.0,35.0,1125.0
12,26.4038329911,23.9780971937,41.0,35.0,185.0,275.0,14.0,2150.0
13,27.627652293,29.5468856947,27.0,18.0,19.0,1835.0,38.0,1083.0
14,29.004791238900000,26.3709787817,27.0,26.0,9.0,3590.0,63.0,810.0
15,33.7056810404,22.7241615332,33.0,34.0,239.0,200.0,146.0,367.0
16,24.6981519507,25.9849418207,23.0,17.0,72.0,715.0,154.0,352.0
17,19.8685831622,19.405886379200000,25.0,18.0,31.0,1298.0,147.0,367.0
18,31.630390143700000,26.9431895962,28.0,23.0,240.0,200.0,234.0,206.0
19,19.3347022587,31.630390143700000,22.0,18.0,131.0,433.0,56.0,895.0
20,28.010951403100000,29.453798768000000,27.0,16.0,18.0,1855.0,67.0,780.0
21,23.6796714579,26.6502395619,63.0,60.0,35.0,1125.0,62.0,810.0
22,31.8822724162,28.684462696800000,40.0,32.0,40.0,1050.0,57.0,875.0
23,26.4038329911,20.514715948,39.0,35.0,185.0,275.0,102.0,572.0
24,27.627652293,23.2607802875,37.0,21.0,19.0,1835.0,75.0,701.0
25,29.5468856947,27.4442162902,49.0,44.0,38.0,1083.0,61.0,814.0
26,26.3709787817,21.1745379877,58.0,57.0,63.0,810.0,49.0,974.0
28,30.71321013,31.611225188200000,52.0,48.0,24.0,1605.0,1.0,9045.0
30,31.611225188200000,26.8528405202,41.0,39.0,1.0,9045.0,21.0,1795.0
32,26.250513347,28.5037645448,36.0,33.0,20.0,1819.0,48.0,985.0
34,31.611225188200000,26.893908282000000,39.0,33.0,1.0,9045.0,36.0,1122.0
35,26.8528405202,21.196440794,31.0,19.0,21.0,1795.0,68.0,760.0
37,30.71321013,35.575633128,25.0,20.0,24.0,1605.0,105.0,543.0
38,28.5037645448,28.5284052019,48.0,45.0,48.0,985.0,116.0,507.0
39,26.250513347,28.624229979500000,,,20.0,1819.0,58.0,860.0
41,27.7891854894,23.545516769300000,57.0,56.0,55.0,903.0,74.0,706.0
42,31.611225188200000,26.614647501700000,21.0,17.0,1.0,9045.0,47.0,985.0
43,26.893908282000000,28.205338809,24.0,20.0,36.0,1122.0,60.0,823.0
44,21.196440794,34.858316221800000,22.0,22.0,68.0,760.0,37.0,1106.0
45,26.8528405202,30.954140999300000,27.0,26.0,21.0,1795.0,65.0,790.0
47,23.2224503765,31.7371663244,59.0,54.0,43.0,1022.0,50.0,965.0
49,30.71321013,22.7186858316,27.0,17.0,24.0,1605.0,54.0,932.0
50,28.5284052019,28.065708418900000,44.0,47.0,116.0,507.0,22.0,1785.0
51,28.5037645448,30.5051334702,40.0,26.0,48.0,985.0,42.0,1045.0
52,28.624229979500000,23.3620807666,36.0,32.0,58.0,860.0,249.0,183.0
53,26.250513347,32.9828884326,35.0,34.0,20.0,1819.0,134.0,424.0
54,35.1266255989,37.043121149900000,30.0,21.0,28.0,1410.0,109.0,525.0
